nombre_comuna;barrio
COMUNA CONSOTA;EL DORADO I
COMUNA CONSOTA;EL DORADO II
COMUNA RIO OTUN;PRIMERO DE MAYO
COMUNA RIO OTUN;REMIGIO ANTONIO CA_ARTE
COMUNA RIO OTUN;SAN CAMILO
COMUNA RIO OTUN;CONSTRUCTORES
COMUNA RIO OTUN;GETSEMANI
COMUNA RIO OTUN;AMERICA
COMUNA RIO OTUN;LA CAMPI_A
COMUNA POBLADO;POBLADO I
COMUNA POBLADO;POBLADO II
COMUNA POBLADO;BARAJAS
COMUNA POBLADO;HAMBURGO
COMUNA POBLADO;VILLA DEL PRADO
COMUNA POBLADO;VILLA DEL PALMAR
COMUNA POBLADO;CACHIPAY
COMUNA POBLADO;ROCIO BAJO
COMUNA POBLADO;SAMARIA I
COMUNA POBLADO;SAMARIA II
COMUNA POBLADO;BALCONES DE VILLA DEL PRADO
COMUNA JARDIN;BRASILIA
COMUNA JARDIN;LOS CEDROS
COMUNA JARDIN;SECTOR 20 DE AGOSTO
COMUNA JARDIN;MARAYA
COMUNA JARDIN;CAMINOS DE MARAYA
COMUNA JARDIN;ALCAZAR DE MARAYA
COMUNA JARDIN;JARDIN I
COMUNA JARDIN;MAYORCA
COMUNA JARDIN;JARDIN DE VELEZ Y VELEZ
COMUNA JARDIN;RINCON DE LAS QUINTAS
COMUNA JARDIN;LOS QUIMBAYAS
COMUNA JARDIN;LAS MANGAS
COMUNA JARDIN;NIZA I
COMUNA JARDIN;BRASILIA
COMUNA JARDIN;NIZA II
COMUNA JARDIN;LA ELVIRA
COMUNA JARDIN;LOS ANDES
COMUNA JARDIN;JARDIN II
COMUNA JARDIN;BOSQUES DE SANTA HELENA I
COMUNA JARDIN;JARDIN III
COMUNA JARDIN;LOS ARRAYANES
COMUNA JARDIN;PORTAL DE LOS CEDROS
COMUNA JARDIN;BALCONES CONDOMINIO
COMUNA JARDIN;CEDRITOS
COMUNA JARDIN;ALTOS DE TANANBI
COMUNA JARDIN;VILLAS DEL JARDIN I
COMUNA JARDIN;VILLAS DEL JARDIN II
COMUNA JARDIN;VILLAS DEL JARDIN III
COMUNA JARDIN;HOMECENTER
COMUNA JARDIN;ALKOSTO
COMUNA VILLAVICENCIO;VILLAVICENCIO
COMUNA VILLAVICENCIO;BERLIN
COMUNA VILLAVICENCIO;COROCITO
COMUNA VILLAVICENCIO;LOS ANDES
COMUNA DEL CAFE;MALAGA
COMUNA DEL CAFE;ALTOS DE LLANO GRANDE
COMUNA DEL CAFE;ALTOS DE LOS ANGELES
COMUNA DEL CAFE;NUEVO HORIZONTE
COMUNA DEL CAFE;CIUDAD BOQUIA
COMUNA DEL CAFE;SECTOR B
COMUNA DEL CAFE;CIUDAD BOQUIA
COMUNA DEL CAFE;HORIZONTES
COMUNA DEL CAFE;CARLOS ENRIQUE SOTO
COMUNA DEL CAFE;ANTONIO RICAUTE
COMUNA DEL CAFE;RINCON DEL CAFE
