codigo_departamento;nombre_departamento;codigo_municipio;nombre_municipio;codigo_postal;tipo;limite_norte;limite_sur;limite_este;limite_oeste;longitud_centroide;latitud_centroide;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal
73;TOLIMA;73217;COYAIMA;735,020;Urbano;CL 0;LIMITE URBANO;LIMITE URBANO;KR 1;-75-1941050230269;3-79845220310585;Sin Informacion de Barrios;Sin Informacion de Veredas
11;BOGOTA- D.C.;11001;LOCALIDAD SUBA;111,156;Urbano;AC  170;CL  138;AU NORTE;KR  92;-74-0653432125149;4-74323155644936;Altos de Suba- Atenas- Britalia- Cantagallo- Casa Blanca Suba I- Casablanca Suba- Delmonte- El Plan- Escuela de Carabineros- Gilmar- Granada Norte- Iragua- Mazuren- Portales del Norte- Prado Pinzón- San José V Sector- Santa Helena- Suba Cerros- Suba Urban;Sin Informacion de Veredas
76;VALLE DEL CAUCA;76275;FLORIDA;763,567;Rural;MUNICIPIO PRADERA;MUNICIPIO MIRANDA;VÍA MIRANDA-PRADERA;MUNCIPIO CANDELARIA;-76-2791193334003;3-3179638778999;Sin Informacion de Barrios;Sin Informacion de Veredas
52;NARIÑO;52399;LA UNION;521,527;Rural;VÍA BERRU.-LA UNIÓN-SAN PABLO;MPIO. SAN PEDRO DE CARTAGO;MUNICIPIO COLÓN  Y BELÉN;MUNICIPIO SAN LORENZO;-77-1176099916431;1-5827621578922;Sin Informacion de Barrios;Buenos Aires- El Arenal-  El Salado-  El Tauso-  La Chorrera-  La Cuesta-  La Estancia-  Los Molinos-  Palacio Alto-  Peña Negra-  San Carlos-  Yanangona
15;BOYACA;15476;MOTAVITA;154,080;Urbano;KR 7;LIMITE URBANO;CL 5;CL 0;-73-3677104358503;5-57752466666125;Sin Informacion de Barrios;Sin Informacion de Veredas
5;ANTIOQUIA;05172;CHIGORODO;57,410;Urbano;LIMITE URBANO;LIMITE URBANO;CL 98;LIMOITE URBANO;-76-6772283895564;7-66589488354447;Sin Informacion de Barrios;Sin Informacion de Veredas
19;CAUCA;19698;SANTANDER DE QUILICHAO;191,048;Rural;VÍA DOMINGUI.-PALOMERA Y M. CALOTO;MUNICIPIO CALDONO;MUNICIPIO JAMBALÓ;VÍA DOMINGUILLO-EL TURCO;-76-446070901758;2-91094091242672;Sin Informacion de Barrios;Sin Informacion de Veredas
11;BOGOTA- D.C.;11001;LOCALIDAD LOS MARTIRES;111,411;Urbano;AC  26;AC  1;AK CARACAS - AK 14;AK  30;-74-0879343449498;4-60710598524383;Colseguros- Eduardo Santos- El Listón- El Progreso- El Vergel- Florida- La Estanzuela- La Favorita- La Pepita- La Sabana- Paloquemao- Ricaurte- Samper Mendoza- San Victorino- Santa Fé- Santa Isabel- Santa Isabel Sur- Usatama- Veraguas- Voto Nacional;Sin Informacion de Veredas
18;CAQUETA;18785;SOLITA;185,078;Rural;MUNICIPIO VALPARAISO;MPIO. PUERTO GUZMÁN;MUNICIPIO VALPARAISO;RÍO SOLITA;-75-5758374577347;0-901125442948455;Sin Informacion de Barrios;Sin Informacion de Veredas
76;VALLE DEL CAUCA;76828;TRUJILLO;761,028;Rural;MUNICIPIO BOLÍVAR;MPIO. RIOFRÍO Y ANDALUCÍA;M. BOLÍ.- BUGALAGRAN. Y ANDALUCÍA;VÍA RIOFRÍO-NARANJAL;-76-2845441517136;4-2457697747767;Sin Informacion de Barrios;Sin Informacion de Veredas
