nombre_comuna;barrio
COMUNA CONSOTA;EL DORADO I
COMUNA CONSOTA;EL DORADO II
COMUNA RIO OTUN;PRIMERO DE MAYO
COMUNA RIO OTUN;REMIGIO ANTONIO CAÊARTE
COMUNA RIO OTUN;SAN CAMILO
COMUNA RIO OTUN;CONSTRUCTORES
COMUNA RIO OTUN;GETSEMANI
COMUNA RIO OTUN;AMERICA
COMUNA RIO OTUN;LA CAMPIÊA
COMUNA POBLADO;POBLADO I
COMUNA POBLADO;POBLADO II
COMUNA POBLADO;BARAJAS
COMUNA POBLADO;HAMBURGO
COMUNA POBLADO;VILLA DEL PRADO
COMUNA POBLADO;VILLA DEL PALMAR
COMUNA POBLADO;CACHIPAY
COMUNA POBLADO;BALCONES DE VILLA DEL PRADO
COMUNA ORIENTE;KENEDY
COMUNA ORIENTE;ALFONSO LOPEZ
COMUNA ORIENTE;ANTONIO NARIÊO
COMUNA ORIENTE;HERNANDO VELEZ
COMUNA ORIENTE;CASTAÊO ROBLEDO
COMUNA ORIENTE;20 DE JULIO
COMUNA ORIENTE;SANTANDER
COMUNA ORIENTE;ALTOS DEL OTUN
COMUNA ORIENTE;SAN FRANCISCO
COMUNA ORIENTE;LA PUPY
COMUNA ORIENTE;ORMAZA
COMUNA ORIENTE;BRISAS DEL OTUN
COMUNA ORIENTE;PIZAMO
COMUNA ORIENTE;PAZ DEL RIO
COMUNA JARDIN;JARDIN I
COMUNA JARDIN;JARDIN II
COMUNA JARDIN;MARAYA
COMUNA JARDIN;30 DE AGOSTO
COMUNA JARDIN;NIZA I
COMUNA JARDIN;NIZA II
COMUNA JARDIN;CAMINOS DE MARAYA
COMUNA JARDIN;FAVI
COMUNA JARDIN;LAS MANGAS
COMUNA JARDIN;LOS ARRAYANES
COMUNA JARDIN;MAYORCA
COMUNA JARDIN;RINCON DE LAS QUINTAS
COMUNA JARDIN;PASARELA
COMUNA JARDIN;CONJUNTO CERRADO AMATISTA
COMUNA JARDIN;ALCAZAR DE MARAYA
COMUNA JARDIN;UNIVERSIDAD CATOLICA
COMUNA JARDIN;ALTOS DE TANAMBI
COMUNA JARDIN;LA CASTELLANA
COMUNA JARDIN;BOSQUES DE SANTA ELENA
COMUNA JARDIN;BRASILIA
COMUNA JARDIN;CEDRITOS
COMUNA JARDIN;JARDIN DE VELEZ
COMUNA JARDIN;LA ELVIRA
COMUNA JARDIN;LOS ANDES
COMUNA JARDIN;LOS QUIMBAYAS
COMUNA JARDIN;PORTAL DE LOS CEDROS
COMUNA JARDIN;CATALUÊA
COMUNA JARDIN;ANDALUCIA
COMUNA JARDIN;VILLAS DEL JARDIN I
COMUNA JARDIN;VILLAS DEL JARDIN II
COMUNA JARDIN;VILLAS DEL JARDIN III
COMUNA JARDIN;BALCONES CONDOMINIO
COMUNA JARDIN;HOME CENTES
COMUNA JARDIN;ALKOSTO
COMUNA SAN NICOLAS;VILLA MERY
COMUNA SAN NICOLAS;LAS ANTILLAS
